date,area,n,K_min_obs,K_max_obs
2009-10-30,EU,1,0.99,1.05
2009-11-30,EU,1,0.99,1.05
2009-12-31,EU,1,0.99,1.05
2010-01-29,EU,1,0.99,1.05
2010-02-26,EU,1,0.99,1.05
2010-03-31,EU,1,0.99,1.05
2010-04-30,EU,1,0.99,1.05
2010-05-31,EU,1,0.99,1.05
2010-06-30,EU,1,0.99,1.05
2010-07-30,EU,1,0.99,1.05
2010-08-31,EU,1,0.99,1.05
2010-09-30,EU,1,0.99,1.05
2010-10-29,EU,1,0.99,1.05
2010-11-30,EU,1,0.99,1.05
2010-12-31,EU,1,0.99,1.05
2011-01-31,EU,1,0.99,1.05
2011-02-28,EU,1,0.99,1.05
2011-03-31,EU,1,0.99,1.05
2011-04-29,EU,1,0.99,1.05
2011-05-31,EU,1,0.99,1.05
2011-06-30,EU,1,0.99,1.05
2011-07-29,EU,1,0.99,1.05
2011-08-31,EU,1,0.99,1.05
2011-09-30,EU,1,0.99,1.05
2011-10-31,EU,1,0.99,1.05
2011-11-30,EU,1,0.99,1.05
2011-12-30,EU,1,0.99,1.05
2012-01-31,EU,1,0.99,1.05
2012-02-29,EU,1,0.99,1.05
2012-03-30,EU,1,0.99,1.05
2012-04-30,EU,1,0.99,1.05
2012-05-31,EU,1,0.99,1.05
2012-06-29,EU,1,0.99,1.05
2012-07-31,EU,1,0.99,1.05
2012-08-31,EU,1,0.99,1.05
2012-09-28,EU,1,0.99,1.05
2012-10-31,EU,1,0.99,1.05
2012-11-30,EU,1,0.99,1.05
2012-12-31,EU,1,0.99,1.05
2013-01-31,EU,1,0.99,1.05
2013-02-28,EU,1,0.99,1.05
2013-03-29,EU,1,0.99,1.05
2013-04-30,EU,1,0.99,1.05
2013-05-31,EU,1,0.99,1.05
2013-06-28,EU,1,0.99,1.05
2013-07-31,EU,1,0.99,1.05
2013-08-30,EU,1,0.99,1.05
2013-09-30,EU,1,0.99,1.05
2013-10-31,EU,1,0.99,1.05
2013-11-29,EU,1,0.99,1.05
2013-12-31,EU,1,0.99,1.05
2014-01-31,EU,1,0.99,1.05
2014-02-28,EU,1,0.99,1.05
2014-03-31,EU,1,0.99,1.05
2014-04-30,EU,1,0.99,1.05
2014-05-30,EU,1,0.99,1.05
2014-06-30,EU,1,0.99,1.05
2014-07-31,EU,1,0.99,1.05
2014-08-29,EU,1,0.99,1.05
2014-09-30,EU,1,0.99,1.05
2014-10-31,EU,1,0.99,1.05
2014-11-28,EU,1,0.99,1.05
2014-12-31,EU,1,0.99,1.05
2015-01-30,EU,1,0.99,1.05
2015-02-27,EU,1,0.99,1.05
2015-03-31,EU,1,0.99,1.05
2015-04-30,EU,1,0.99,1.05
2015-05-29,EU,1,0.99,1.05
2015-06-30,EU,1,0.99,1.05
2015-07-31,EU,1,0.99,1.05
2015-08-31,EU,1,0.99,1.05
2015-09-30,EU,1,0.99,1.05
2015-10-30,EU,1,0.99,1.05
2015-11-30,EU,1,0.99,1.05
2015-12-31,EU,1,0.99,1.05
2016-01-29,EU,1,0.99,1.05
2016-02-29,EU,1,0.99,1.05
2016-03-31,EU,1,0.99,1.05
2016-04-29,EU,1,0.99,1.05
2016-05-31,EU,1,0.99,1.05
2016-06-30,EU,1,0.99,1.05
2016-07-29,EU,1,0.99,1.05
2016-08-31,EU,1,0.99,1.05
2016-09-30,EU,1,0.99,1.05
2016-10-31,EU,1,0.99,1.05
2016-11-30,EU,1,0.99,1.05
2016-12-30,EU,1,0.99,1.05
2017-01-31,EU,1,0.99,1.05
2017-02-28,EU,1,0.99,1.05
2017-03-31,EU,1,0.99,1.05
2017-04-28,EU,1,0.99,1.05
2017-05-31,EU,1,0.99,1.05
2017-06-30,EU,1,0.99,1.05
2017-07-31,EU,1,0.99,1.05
2017-08-31,EU,1,0.99,1.05
2017-09-29,EU,1,0.99,1.05
2017-10-31,EU,1,0.99,1.05
2017-11-30,EU,1,0.99,1.05
2017-12-29,EU,1,0.99,1.05
2018-01-31,EU,1,0.99,1.05
2018-02-28,EU,1,0.99,1.05
2018-03-30,EU,1,0.99,1.05
2018-04-30,EU,1,0.99,1.05
2018-05-31,EU,1,0.99,1.05
2018-06-29,EU,1,0.99,1.05
2018-07-31,EU,1,0.99,1.05
2018-08-31,EU,1,0.99,1.05
2018-09-28,EU,1,0.99,1.05
2018-10-31,EU,1,0.99,1.05
2018-11-30,EU,1,0.99,1.05
2018-12-31,EU,1,0.99,1.05
2019-01-31,EU,1,0.99,1.05
2019-02-28,EU,1,0.99,1.05
2019-03-29,EU,1,0.99,1.05
2019-04-30,EU,1,0.99,1.05
2019-05-31,EU,1,0.99,1.05
2019-06-28,EU,1,0.99,1.05
2019-07-31,EU,1,0.99,1.05
2019-08-30,EU,1,0.99,1.05
2019-09-30,EU,1,0.99,1.05
2019-10-31,EU,1,0.99,1.05
2019-11-29,EU,1,0.99,1.05
2019-12-31,EU,1,0.99,1.05
2020-01-31,EU,1,0.99,1.05
2020-02-28,EU,1,0.99,1.05
2020-03-31,EU,1,0.99,1.05
2020-04-30,EU,1,0.99,1.05
2020-05-29,EU,1,0.99,1.05
2020-06-30,EU,1,0.99,1.05
2020-07-31,EU,1,0.99,1.05
2020-08-31,EU,1,0.99,1.05
2020-09-30,EU,1,0.99,1.05
2020-10-30,EU,1,0.99,1.05
2020-11-30,EU,1,0.99,1.05
2020-12-31,EU,1,0.99,1.05
2021-01-29,EU,1,0.99,1.05
2021-02-26,EU,1,0.99,1.05
2021-03-31,EU,1,0.99,1.05
2021-04-30,EU,1,0.99,1.05
2021-05-31,EU,1,0.99,1.05
2021-06-30,EU,1,0.99,1.05
2021-07-30,EU,1,0.99,1.05
2021-08-31,EU,1,0.99,1.05
2021-09-30,EU,1,0.99,1.05
2021-10-29,EU,1,0.99,1.05
2021-11-30,EU,1,0.99,1.05
2021-12-31,EU,1,0.99,1.05
2022-01-31,EU,1,0.99,1.05
2022-02-28,EU,1,0.99,1.05
2022-03-31,EU,1,0.99,1.05
2022-04-29,EU,1,0.99,1.05
2022-05-31,EU,1,0.99,1.05
2022-06-30,EU,1,0.99,1.05
2022-07-29,EU,1,0.99,1.05
2022-08-31,EU,1,0.99,1.05
2022-09-30,EU,1,0.99,1.05
2022-10-31,EU,1,0.99,1.05
2022-11-30,EU,1,0.99,1.05
2022-12-30,EU,1,0.99,1.05
2023-01-31,EU,1,0.99,1.05
2023-02-28,EU,1,0.99,1.05
2023-03-31,EU,1,0.99,1.05
2023-04-28,EU,1,0.99,1.05
2023-05-31,EU,1,0.99,1.05
2023-06-30,EU,1,0.99,1.05
2023-07-31,EU,1,0.99,1.05
2023-08-31,EU,1,0.99,1.05
2023-09-29,EU,1,0.99,1.05
2023-10-31,EU,1,0.99,1.05
2023-11-30,EU,1,0.99,1.05
2023-12-29,EU,1,0.99,1.05
2024-01-31,EU,1,0.99,1.05
2024-02-29,EU,1,0.99,1.05
2024-03-29,EU,1,0.99,1.05
2024-04-30,EU,1,0.99,1.05
2024-05-31,EU,1,0.99,1.05
2024-06-28,EU,1,0.99,1.05
2024-07-31,EU,1,0.99,1.05
2024-08-31,EU,1,0.99,1.05
2024-09-30,EU,1,0.99,1.05
2024-10-31,EU,1,0.99,1.05
2024-11-30,EU,1,0.99,1.05
2024-12-31,EU,1,0.99,1.05
2025-01-31,EU,1,0.99,1.05
2025-02-28,EU,1,0.99,1.05
2025-03-31,EU,1,0.99,1.05
2025-04-30,EU,1,0.99,1.05
2025-05-31,EU,1,0.99,1.05
2025-06-30,EU,1,0.99,1.05
2025-07-31,EU,1,0.99,1.05
2025-08-29,EU,1,0.99,1.05
